date,month,temperature_C,humidity_pct,rainfall_mm
2023-12-16,December,6.2,81.3,0.0
2024-06-30,June,32.3,60.3,0.0
2024-05-10,May,28.1,66.0,0.0
2023-03-07,March,20.4,71.8,0.0
2024-09-09,September,12.8,72.5,12.3
2023-10-04,October,10.4,90.6,0.0
2024-03-25,March,18.7,79.4,0.0
2023-03-12,March,14.8,72.9,0.0
2024-07-31,July,29.6,58.1,0.0
2023-12-04,December,4.8,66.6,39.1
2023-03-04,March,8.5,77.2,0.0
2023-04-23,April,23.7,74.3,0.2
2024-04-14,April,27.4,61.5,0.0
2023-12-01,December,6.9,71.2,0.0
2024-12-19,December,7.7,74.9,5.6
2023-06-09,June,,,
2024-01-31,January,12.5,68.7,7.1
2023-02-01,February,12.6,79.3,10.4
2024-05-18,may,29.8,62.9,-5.0
2024-08-03,August,21.8,71.4,0.0
2023-08-28,August,25.0,53.9,0.0
2023-12-06,December,6.9,74.2,14.0
2024-05-11,May,29.7,49.0,0.0
2023-10-27,October,8.5,78.1,0.0
2023-06-14,June,35.3,64.4,0.0
2023-10-06,October,16.2,61.0,0.0
2023-11-08,November,8.2,79.0,0.0
2024-08-16,August,25.2,64.2,24.0
2024-01-18,January,8.0,65.6,0.0
2024-02-15,February,9.6,78.8,0.0
2024-12-27,December,6.7,70.7,0.0
2024-01-12,January,4.4,81.0,21.1
2023-04-01,April,15.9,60.0,0.0
2024-09-25,September,13.3,59.5,1.8
2023-06-04,June,26.9,67.0,0.0
2024-05-21,May,28.2,65.7,0.0
2023-06-03,June,28.8,70.1,0.0
2023-01-09,January,,,
2023-11-16,November,8.1,76.3,1.9
2024-10-02,October,12.6,86.8,7.0
2023-06-05,June,27.0,61.4,0.0
2023-12-05,December,10.0,75.9,0.0
2024-09-03,September,20.0,70.8,0.0
2023-10-14,october,17.6,77.0,1.5
2023-04-19,April,22.8,54.3,24.6
2024-09-23,September,17.2,64.4,28.2
2023-02-15,February,14.0,70.5,0.0
2024-05-27,May,,,
2024-03-28,March,23.8,74.6,0.0
2023-03-22,March,22.9,63.6,0.0
2023-10-03,October,9.6,67.8,0.0
2024-09-28,September,16.6,64.3,0.0
2024-07-24,July,29.5,63.5,3.6
2024-06-22,June,36.5,48.5,0.0
2024-06-29,June,28.4,70.8,0.0
2024-12-21,December,2.4,82.4,0.0
2023-08-01,August,23.9,76.7,0.0
2024-10-05,October,14.6,70.7,11.0
2023-01-12,January,3.9,65.8,14.1
2024-03-23,March,16.9,67.4,0.0
2023-09-26,September,19.3,74.3,0.0
2023-01-19,january,17.7,62.8,0.0
2024-05-19,May,28.0,61.0,0.2
2024-07-27,July,32.3,53.3,3.4
2023-08-27,august,24.0,69.6,0.0
2024-04-12,April,23.4,71.9,0.0
2023-06-20,June,29.0,76.8,4.8
2023-06-16,June,30.5,63.3,0.0
2023-01-26,January,0.4,83.3,1.0
2023-01-14,January,8.9,82.6,0.0
2023-02-25,February,14.7,100.0,0.0
2024-03-17,March,13.8,70.5,6.6
2024-09-10,september,,,0.0
2024-11-21,November,9.5,81.4,0.0
2024-11-14,November,9.6,75.4,8.4
2024-04-20,April,23.4,50.2,7.5
2024-10-09,October,11.5,68.4,2.3
2023-06-19,June,32.5,61.9,0.0
2023-03-17,march,15.7,73.0,14.9
2023-11-21,November,6.9,75.6,8.2
2024-06-16,June,24.3,67.9,5.6
2024-06-12,June,28.0,67.5,0.0
2023-12-03,December,11.2,71.6,0.0
2023-05-01,may,,,
2023-05-08,May,29.4,55.3,0.0
2023-04-03,april,23.2,65.6,5.4
2023-11-03,November,10.2,69.1,0.0
2024-06-10,june,27.2,59.0,0.0
2023-09-21,September,17.0,70.8,0.0
2023-11-25,November,8.8,88.6,0.7
2023-05-19,May,29.4,62.5,0.0
2023-03-10,March,15.0,86.8,5.4
2024-04-03,April,21.9,69.2,15.6
2023-12-30,December,4.2,86.6,0.0
2023-09-20,September,17.9,60.8,0.0
2023-06-28,June,21.9,76.4,0.0
2024-07-28,July,26.6,50.1,0.0
2023-07-29,July,29.9,63.9,9.6
2023-06-25,June,27.9,65.2,0.0
2024-11-04,November,1.5,79.9,0.0
2023-08-14,August,23.6,-15.0,0.0
2024-10-07,October,14.3,71.5,0.0
2023-11-27,November,4.6,78.3,0.0
2024-11-13,November,,,
2024-08-31,August,26.1,51.4,0.0
2023-09-18,September,21.4,59.2,0.0
2023-11-17,November,11.3,71.6,0.0
2023-12-23,December,2.9,77.4,0.0
2024-05-23,May,29.3,53.8,0.0
2024-01-26,january,12.0,68.7,0.0
2024-02-03,February,11.8,69.3,0.0
2024-04-26,April,23.9,61.2,0.0
2024-09-21,September,20.8,79.9,4.3
2024-09-16,September,16.6,77.0,0.0
2023-01-04,January,1.2,75.6,0.0
2024-09-07,September,16.5,61.1,0.0
2023-06-26,June,29.6,64.3,0.3
2023-07-22,July,31.7,56.2,0.6
2023-11-04,November,2.8,73.7,0.0
2023-11-23,November,8.2,75.9,9.5
2024-08-04,August,27.0,59.3,0.0
2024-06-09,June,28.6,57.7,0.0
2024-10-21,October,13.3,64.5,0.0
2023-07-11,July,35.7,64.8,1.2
2024-05-26,May,,,
2023-12-14,December,13.5,70.3,0.0
2023-08-15,August,23.8,57.2,0.0
2023-11-07,November,11.1,78.7,0.0
2023-01-25,January,6.2,74.5,4.5
2023-08-17,August,29.2,77.7,16.8
2024-05-05,May,23.1,67.8,4.4
2023-06-27,June,27.8,65.0,0.0
2024-09-17,September,18.5,64.6,2.9
2024-07-25,July,26.7,62.3,0.0
2024-02-04,February,9.1,71.7,0.0
2024-03-04,March,10.4,75.3,0.0
2023-01-16,January,5.9,75.8,3.1
2023-10-01,October,12.3,78.0,0.0
2024-07-03,July,30.2,63.2,0.0
2023-01-15,January,6.6,71.9,15.9
2023-03-19,March,999.0,74.2,0.0
2023-08-18,August,26.0,73.9,0.0
2023-09-28,September,21.5,69.5,0.5
2023-08-09,August,20.1,59.1,0.0
2024-01-15,January,9.8,70.3,0.0
2024-03-01,March,12.0,74.2,0.0
2024-12-06,December,2.6,88.6,0.0
2024-10-27,October,11.9,80.5,0.0
2024-01-17,January,8.9,81.4,0.0
2024-11-17,November,7.2,71.5,0.0
2023-04-10,April,21.7,75.6,0.0
2024-04-09,April,24.9,79.5,0.0
2024-11-20,November,5.2,78.3,0.0
2024-03-05,March,13.9,76.6,0.0
2024-08-23,August,21.9,75.4,0.0
2023-02-27,february,11.2,72.2,0.0
2023-11-18,November,10.0,69.2,13.8
2024-03-07,March,12.4,73.3,0.0
2023-05-25,May,26.2,62.0,36.8
2024-02-06,February,7.8,61.2,2.0
2023-06-08,June,34.3,63.5,0.0
2023-04-28,April,20.2,68.2,0.0
2023-10-13,October,16.3,67.1,0.0
2023-03-30,March,17.4,72.3,9.7
2024-10-25,October,7.5,65.4,0.0
2023-12-24,December,4.5,68.7,0.0
2023-10-02,October,18.7,68.7,0.0
2023-01-07,January,3.1,81.9,23.8
2023-01-05,January,3.7,67.3,0.0
2023-02-10,February,11.3,76.8,0.0
2023-08-26,August,21.8,61.1,0.0
2023-07-30,July,27.2,69.9,0.0
2024-11-30,November,3.3,85.9,0.0
2023-07-31,July,30.0,58.7,7.3
2024-10-18,October,11.0,73.8,5.6
2024-11-23,November,5.8,73.5,0.0
2023-03-06,March,12.6,86.5,1.4
2023-12-15,December,-1.5,82.2,3.7
2024-06-21,June,34.1,49.9,17.6
2023-09-23,September,17.9,61.6,0.0
2023-11-22,November,2.7,81.3,0.0
2023-04-09,April,20.6,83.3,0.0
2024-12-12,December,10.1,79.8,14.5
2024-01-01,January,10.5,84.2,0.0
2023-10-05,October,9.9,70.3,0.0
2023-04-14,April,22.6,65.0,0.0
2023-07-16,july,23.3,56.6,0.0
2024-03-16,March,18.0,69.7,0.0
2024-02-10,February,6.3,67.6,0.2
2024-10-12,October,9.1,77.0,0.0
2024-02-24,February,13.2,75.6,0.0
2024-04-13,April,24.8,87.4,0.0
2024-09-22,September,16.4,66.7,4.5
2024-04-07,April,16.0,68.8,0.0
2023-08-20,August,22.5,69.1,0.0
2023-06-25,June,27.9,65.2,0.0
2023-05-15,May,30.5,77.8,0.0
2023-11-14,November,8.1,80.3,0.0
2024-02-11,February,11.1,60.0,0.0
2023-07-08,July,31.7,50.5,0.0
2023-07-12,july,29.2,66.0,2.5
2023-05-23,May,29.4,55.9,0.0
2024-02-22,February,12.3,68.6,10.5
2023-12-08,December,6.5,82.6,4.0
2023-10-29,October,12.1,76.4,0.0
2024-08-26,August,20.7,68.7,0.0
2024-12-13,December,12.1,81.7,0.0
2024-01-25,January,13.3,76.0,0.0
2023-05-09,May,24.0,67.0,0.0
2023-06-10,June,32.4,72.2,0.0
2023-05-04,May,25.9,65.6,0.0
2024-07-17,July,30.0,63.0,0.1
2023-06-18,June,33.2,56.2,3.2
2024-04-27,April,27.8,62.7,0.0
2023-04-11,April,21.8,56.9,0.0
2023-12-26,December,4.4,81.3,0.0
2023-04-13,April,24.9,77.7,0.0
2023-04-16,April,24.0,68.6,0.0
2024-06-20,June,31.9,51.7,0.0
2024-04-22,April,27.7,59.6,0.0
2024-11-18,November,11.5,81.6,2.0
2023-08-24,August,24.8,72.8,0.0
2024-01-21,January,8.5,96.5,6.7
2024-03-10,March,19.5,73.4,0.0
2024-09-26,September,13.7,64.6,0.0
2024-10-23,October,20.1,78.7,0.0
2024-11-24,November,7.7,78.7,0.0
2024-08-17,August,30.3,50.1,0.0
2023-02-16,February,19.7,69.7,0.0
2024-02-14,February,11.1,88.3,0.0
2024-08-25,August,21.2,54.8,1.1
2023-05-10,may,24.7,58.8,0.0
2023-09-27,September,20.4,70.1,0.0
2023-04-12,April,16.7,73.7,0.0
2024-12-30,December,7.1,77.1,0.0
2024-10-30,october,10.5,88.5,0.7
2024-04-17,April,22.8,47.9,0.0
2024-10-04,October,16.5,62.7,0.0
2023-10-21,October,,,
2023-04-26,April,24.2,72.0,0.0
2023-01-02,January,5.6,75.6,16.1
2023-07-15,July,29.7,70.8,0.0
2024-11-29,November,8.2,84.1,0.0
2023-03-03,March,20.8,73.4,0.0
2023-11-29,November,3.2,69.0,0.0
2023-08-31,August,25.6,53.9,0.0
2024-03-06,March,15.0,65.9,0.0
2023-02-05,February,7.0,89.0,0.0
2024-03-31,March,21.1,73.4,0.0
2024-12-05,december,5.3,81.5,0.0
2023-03-27,March,21.5,73.2,0.0
2023-10-17,October,11.5,69.5,6.1
2023-01-21,January,6.2,65.1,0.0
2024-10-14,October,16.1,90.0,3.7
2024-01-19,January,8.8,70.3,0.0
2023-07-26,July,27.6,69.2,6.2
2023-10-08,October,15.2,69.3,0.0
2024-12-02,December,1.9,84.6,0.0
2024-01-14,January,6.5,74.7,0.0
2023-10-20,October,18.3,68.7,0.2
2023-04-04,April,18.8,69.1,1.0
2024-06-14,June,29.9,55.8,4.2
2024-04-04,april,21.7,70.3,0.0
2023-06-02,June,32.6,54.5,0.0
2023-03-24,March,17.9,76.9,18.9
2024-04-19,April,23.6,65.2,0.0
2023-03-29,March,18.7,76.0,1.2
2024-01-16,January,6.8,79.0,0.0
2023-05-22,May,26.2,50.6,0.0
2024-05-22,May,24.0,54.5,0.0
2023-09-14,September,20.3,62.6,0.0
2024-06-28,June,27.3,73.4,3.6
2024-02-28,February,10.5,51.1,23.3
2024-12-17,December,9.4,79.6,0.0
2024-03-20,March,17.1,54.9,0.0
2023-02-20,February,9.5,71.0,0.0
2024-03-12,March,18.9,66.1,0.0
2024-06-07,June,29.3,71.2,0.0
2023-02-09,February,6.1,86.7,10.4
2023-08-10,August,25.2,59.1,0.0
2024-03-13,March,14.9,67.7,0.0
2023-08-08,August,25.1,59.3,0.0
2023-03-26,March,16.6,87.6,3.2
2023-11-01,November,6.7,65.3,0.0
2023-11-02,November,6.9,59.5,3.7
2023-08-19,August,18.9,59.4,10.3
2023-02-04,February,5.0,78.4,0.0
2023-09-02,September,22.0,62.0,0.0
2023-07-20,July,28.7,65.0,0.3
2024-11-10,November,9.7,78.1,0.0
2024-09-20,September,17.2,66.1,0.0
2024-02-29,February,12.6,89.3,0.0
2024-10-22,October,,,
2024-06-08,June,35.6,57.5,0.0
2023-11-11,November,11.3,61.4,0.0
2024-01-28,January,6.0,73.7,16.7
2023-06-12,June,27.2,45.9,0.0
2023-02-06,February,7.6,73.7,0.0
2024-01-08,January,9.6,69.0,0.0
2024-02-16,February,13.8,82.3,0.0
2024-08-15,august,24.8,58.3,0.3
2024-11-06,November,6.4,73.7,0.0
2024-10-28,October,9.3,88.0,0.0
2024-07-26,July,24.3,68.2,0.0
2023-05-31,May,22.7,70.1,0.0
2023-02-13,February,14.5,65.5,0.0
2023-10-26,October,,,
2023-06-22,june,33.2,46.1,0.0
2024-06-25,June,27.7,71.3,0.0
2023-07-17,July,30.3,56.8,-5.0
2024-12-25,December,6.8,67.5,20.3
2023-12-06,December,6.9,74.2,14.0
2023-07-25,July,22.6,76.4,19.9
2024-10-03,October,16.8,70.3,0.0
2024-08-24,August,20.2,72.0,0.0
2023-12-28,December,2.5,79.0,10.7
2024-04-10,april,21.9,66.3,0.0
2023-07-21,July,26.6,65.8,0.0
2023-05-21,May,34.5,73.0,11.7
2023-03-21,March,12.6,63.5,0.0
2023-11-09,November,8.3,80.3,5.3
2024-02-07,February,10.6,79.0,0.0
2023-02-18,February,11.2,79.8,21.1
2024-04-21,April,24.5,54.4,0.1
2024-11-30,November,3.3,85.9,0.0
2024-03-03,March,12.4,69.3,0.0
2023-04-07,April,21.7,75.7,0.0
2023-09-15,September,16.7,70.7,0.0
2024-03-27,March,18.2,74.1,0.0
2024-08-28,August,26.0,71.8,0.0
2023-08-30,August,22.9,63.8,0.0
2023-01-29,January,3.0,78.8,0.3
2023-08-21,August,31.4,57.7,0.0
2024-03-18,March,19.3,71.8,10.5
2023-09-24,September,15.6,67.9,8.1
2024-10-11,October,14.7,75.6,0.0
2023-04-08,April,23.1,67.4,0.0
2023-03-02,March,15.8,61.2,0.4
2023-07-13,July,24.2,70.7,0.0
2023-01-13,January,8.1,61.9,13.0
2024-09-14,September,15.9,69.0,0.0
2023-10-15,October,15.4,81.3,0.0
2024-09-06,September,22.6,70.6,13.2
2024-12-16,December,5.4,82.0,0.0
2024-08-19,August,23.4,74.1,0.0
2024-10-13,October,13.6,86.4,3.7
2023-01-22,January,7.3,73.0,21.2
2024-04-16,April,20.3,74.9,0.0
2024-01-20,January,11.4,74.1,0.0
2024-12-09,December,,68.5,0.0
2023-06-23,June,26.9,68.8,0.0
2023-02-08,February,5.4,79.0,18.2
2024-07-10,July,26.6,73.8,0.0
2024-04-18,April,28.2,68.8,0.0
2023-09-30,September,24.7,65.2,0.0
2024-12-23,December,10.7,81.2,0.0
2023-12-21,December,4.8,79.3,0.0
2023-12-16,December,6.2,81.3,0.0
2024-12-01,December,3.0,71.8,9.5
2024-06-23,June,26.7,71.1,0.0
2023-03-11,March,,,
2024-07-13,July,24.4,57.1,1.1
2023-09-03,september,19.7,72.0,0.0
2023-12-11,December,6.9,79.2,0.0
2024-08-12,August,23.3,77.4,0.0
2024-01-04,january,7.1,72.9,0.6
2023-11-26,November,3.7,72.9,0.0
2023-04-05,April,22.6,79.5,0.0
2024-01-22,January,8.9,82.7,0.0
2024-09-13,September,18.4,71.9,0.0
2023-10-30,October,13.4,77.3,0.0
2024-06-06,June,33.2,59.3,0.0
2024-11-09,November,5.4,84.3,10.3
2024-08-01,August,25.2,65.0,4.7
2023-05-16,May,23.7,71.1,1.3
2023-05-11,May,24.0,61.1,0.0
2023-03-13,March,19.8,69.0,0.0
2023-12-13,December,6.2,78.4,0.0
2023-07-06,July,24.6,80.2,0.0
2023-12-22,December,7.3,85.9,7.8
2024-07-09,July,32.2,74.3,1.2
2024-03-14,March,16.2,61.8,0.0
2024-11-12,November,5.9,76.7,0.0
2023-10-11,October,16.1,61.2,0.0
2024-07-12,July,27.5,63.0,5.8
2023-06-17,June,37.6,62.4,0.0
2024-06-19,June,32.5,59.8,0.0
2023-12-09,December,7.4,96.3,0.0
2023-08-04,August,28.8,63.9,0.0
2023-04-21,April,25.1,59.8,0.0
2023-05-18,May,20.6,73.9,0.0
2023-01-17,January,9.9,77.2,0.0
2024-06-13,June,33.5,66.4,0.0
2024-07-21,July,28.8,65.5,0.0
2023-11-20,November,4.0,80.9,0.0
2024-07-05,July,29.1,59.7,0.0
2023-04-02,April,18.3,68.1,0.0
2024-05-07,May,30.6,55.5,0.0
2024-11-28,November,2.6,79.5,9.5
2024-05-28,May,32.4,77.0,0.0
2024-11-25,November,7.6,83.8,0.0
2024-03-29,March,22.9,56.5,0.0
2024-10-01,October,14.8,74.1,0.0
2024-02-20,february,5.0,84.9,18.4
2024-09-11,September,15.0,68.9,0.0
2023-07-24,July,29.5,67.3,0.0
2024-07-30,July,,51.5,0.0
2023-11-24,November,12.2,69.1,0.0
2024-01-03,january,6.6,90.6,0.0
2024-02-05,February,10.0,86.6,0.0
2024-12-29,December,8.1,69.5,13.0
2023-02-11,February,11.6,68.1,1.4
2023-12-18,December,2.4,84.2,0.0
2023-07-19,July,999.0,48.6,0.0
2024-10-31,October,7.9,66.0,2.0
2024-09-19,September,16.3,57.4,0.0
2023-08-12,August,25.9,69.2,0.0
2024-04-25,April,24.9,74.5,0.0
2024-08-11,August,24.3,61.0,0.0
2024-05-29,May,27.8,63.3,0.0
2024-01-05,January,2.4,71.6,0.0
2024-12-20,December,9.0,86.1,1.4
2023-07-02,July,30.1,61.7,8.5
2023-07-05,July,31.4,59.5,0.7
2024-06-15,June,29.4,58.8,13.2
2023-05-13,May,24.9,65.9,0.0
2023-08-23,August,26.3,68.4,0.0
2024-04-30,April,23.3,49.2,0.0
2024-08-08,August,27.7,62.5,8.0
2023-01-20,January,3.4,87.1,0.0
2024-02-12,February,9.5,62.4,0.0
2024-12-11,December,7.1,88.0,8.5
2024-02-08,February,9.2,77.4,0.0
2024-11-05,November,,,
2024-03-26,March,20.4,62.3,0.0
2024-10-06,October,9.6,71.5,0.0
2023-04-27,April,30.0,51.7,0.0
2023-05-29,May,32.6,63.3,12.7
2024-10-15,October,16.0,76.3,0.0
2023-09-04,September,25.9,64.8,0.0
2023-08-06,August,29.1,65.9,0.0
2023-04-22,April,27.8,64.6,0.0
2024-08-06,August,31.6,60.3,8.2
2023-02-07,February,12.5,-15.0,0.0
2024-01-02,January,4.4,79.5,0.0
2023-04-29,April,19.3,68.5,0.0
2023-08-22,August,25.7,80.2,16.9
2024-08-07,August,26.7,55.1,0.0
2023-01-24,January,8.4,83.5,0.0
2023-09-16,september,16.8,78.7,0.0
2023-11-06,November,13.6,58.1,0.0
2024-06-24,June,30.7,73.4,0.0
2024-01-13,January,3.9,62.7,0.0
2024-02-23,February,15.2,61.7,6.7
2024-07-01,July,30.6,57.8,0.0
2024-11-22,November,8.5,68.8,0.0
2023-07-27,July,30.1,67.7,0.0
2023-05-24,May,28.5,54.0,0.0
2023-03-23,March,18.4,77.2,0.0
2024-07-23,July,33.0,60.1,0.0
2024-11-01,November,999.0,82.3,4.0
2023-05-02,May,24.3,59.8,0.7
2024-03-30,March,22.2,72.8,0.0
2024-05-09,May,,,0.0
2023-01-27,January,8.0,79.2,0.0
2024-05-15,May,22.8,60.7,0.0
2024-02-01,February,,,
2024-09-24,September,21.4,63.0,0.0
2024-05-31,May,30.3,59.5,12.6
2024-11-02,November,12.7,89.9,0.0
2023-11-15,November,,,
2024-03-11,March,12.5,74.2,0.0
2023-08-07,August,21.1,54.1,0.0
2023-12-02,December,3.6,83.7,0.0
2023-10-24,October,11.2,90.1,0.0
2024-10-16,October,15.0,63.6,0.0
2024-11-16,November,2.2,84.4,3.5
2023-10-12,October,8.8,73.3,1.5
2023-01-23,January,10.8,77.0,0.0
2023-08-16,August,25.7,62.3,2.0
2023-01-03,January,4.6,73.8,2.9
2024-03-21,March,17.9,52.1,0.0
2024-07-02,July,34.0,67.8,1.5
2023-01-30,January,6.9,76.7,19.1
2024-05-13,May,24.3,64.5,0.0
2024-04-02,april,,,4.4
2023-01-06,january,6.7,65.4,0.0
2024-09-05,September,19.8,83.3,0.0
2023-10-09,October,13.6,81.2,0.0
2023-02-02,February,13.5,83.8,0.0
2024-02-26,February,10.3,75.1,0.0
2024-09-15,September,15.4,63.5,0.0
2023-06-06,June,32.5,61.9,0.0
2024-12-24,December,6.2,81.6,0.0
2024-06-03,June,,,0.0
2024-11-15,November,11.6,69.9,0.0
2024-08-09,August,28.4,60.2,0.0
2023-09-17,September,18.0,64.5,0.0
2023-10-25,October,9.8,75.5,0.0
2024-05-17,may,25.7,68.8,0.0
2024-04-15,April,29.5,54.2,0.0
2024-07-07,July,33.1,58.3,0.0
2024-10-20,October,8.0,82.5,1.4
2023-01-11,January,7.5,83.3,0.0
2023-01-08,January,4.9,85.5,9.2
2023-07-28,July,26.2,70.1,0.0
2024-01-11,January,11.2,88.5,0.0
2024-08-21,August,26.3,61.6,0.6
2024-02-19,February,10.5,74.4,19.0
2023-10-19,October,14.9,74.6,0.0
2023-02-19,February,10.7,80.6,0.0
2024-09-01,September,27.0,67.7,12.1
2024-03-24,March,21.1,78.2,0.0
2023-02-22,February,12.8,64.0,0.0
2023-11-05,November,8.0,75.8,0.0
2023-11-12,November,5.5,75.7,9.1
2024-05-03,May,25.9,65.4,0.0
2024-08-14,August,19.0,76.6,0.0
2024-01-27,January,6.2,82.3,0.0
2024-05-16,May,24.3,61.5,0.0
2023-04-30,April,26.7,57.2,3.4
2024-05-24,May,28.1,73.7,2.4
2024-01-30,January,3.8,90.2,0.0
2024-12-22,December,8.9,79.3,0.2
2024-06-11,June,28.3,70.7,10.7
2023-03-28,March,17.3,70.3,0.0
2023-06-21,June,30.0,52.3,0.0
2023-01-28,January,9.4,74.6,0.0
2024-05-25,May,28.4,60.0,27.1
2024-05-06,May,34.7,56.1,1.1
2024-08-02,August,25.5,70.2,0.0
2023-09-10,September,22.8,64.4,0.0
2024-07-06,July,25.2,47.3,3.7
2024-10-17,October,14.0,73.9,13.9
2023-05-12,May,28.0,71.3,0.0
2024-09-18,September,13.5,81.6,0.0
2024-07-19,July,28.8,75.9,0.0
2023-05-06,May,24.9,56.0,0.0
2023-01-10,January,3.0,87.7,0.0
2023-03-20,March,19.4,63.4,0.0
2024-06-27,June,29.9,62.8,2.6
2024-04-29,April,26.1,60.2,0.0
2024-10-26,October,14.0,55.3,0.0
2024-08-10,August,24.2,65.7,0.0
2023-02-24,February,14.5,76.2,0.0
2024-01-24,January,7.5,69.5,0.0
2023-12-19,December,5.4,89.5,42.2
2024-05-02,May,26.6,68.4,0.0
2024-07-20,july,28.9,63.9,0.0
2023-09-08,September,15.8,65.8,0.0
2024-03-19,March,,72.1,0.0
2023-06-15,June,30.7,53.3,0.0
2024-05-20,May,23.0,64.2,0.0
2023-09-22,September,16.7,65.3,0.7
2023-02-21,February,14.3,86.3,7.6
2023-04-18,April,28.1,66.4,0.0
2023-03-01,March,,,5.9
2024-04-23,April,25.8,63.9,0.0
2024-08-20,August,19.5,69.0,0.0
2024-11-19,November,6.9,76.6,0.0
2024-05-14,May,31.7,73.0,0.0
